"slug","label","url"
"home","Нүүр хуудас","https://jamsranjamts.github.io/family-medicine-health-education/"
"stroke","Тархины харвалт","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html"
"heart-attack","Зүрхний шигдээс","https://jamsranjamts.github.io/family-medicine-health-education/heart-attack.html"
"epilepsy","Эпилепси","https://jamsranjamts.github.io/family-medicine-health-education/epilepsy.html"
"kidney-failure","Бөөрний дутагдал","https://jamsranjamts.github.io/family-medicine-health-education/kidney-failure.html"
"autism","Аутизм","https://jamsranjamts.github.io/family-medicine-health-education/autism.html"
"post-stroke-exercises","Саажилтын дасгал","https://jamsranjamts.github.io/family-medicine-health-education/post-stroke-exercises.html"
"pressure-injury","Холголт, цооролт","https://jamsranjamts.github.io/family-medicine-health-education/pressure-injury.html"
"downloads","QR татах","https://jamsranjamts.github.io/family-medicine-health-education/downloads.html"
"references","Эх сурвалж","https://jamsranjamts.github.io/family-medicine-health-education/references.html"
"stroke-be-fast","B.E.F.A.S.T","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html#be-fast"
"stroke-warning","Анхаарах шинж","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html#anhaarah-shinj"
"stroke-action","Яаралтай авах арга хэмжээ","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html#yaraltai-arga"
"stroke-prevention","Урьдчилан сэргийлэлт","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html#sergiilelt"
"heart-symptoms","Анхаарах шинж","https://jamsranjamts.github.io/family-medicine-health-education/heart-attack.html#anhaarah-shinj"
"heart-call","103 дуудах","https://jamsranjamts.github.io/family-medicine-health-education/heart-attack.html#yaraltai-tuslamj"
"heart-prevention","Урьдчилан сэргийлэлт","https://jamsranjamts.github.io/family-medicine-health-education/heart-attack.html#sergiilelt"
"epilepsy-firstaid","Таталтын үед","https://jamsranjamts.github.io/family-medicine-health-education/epilepsy.html#tatalt-yed"
"epilepsy-dont","Хийж болохгүй","https://jamsranjamts.github.io/family-medicine-health-education/epilepsy.html#hiij-bolohgui"
"epilepsy-call","103 дуудах","https://jamsranjamts.github.io/family-medicine-health-education/epilepsy.html#yaraltai-tuslamj"
"kidney-risk","Эрсдэлт хүчин зүйл","https://jamsranjamts.github.io/family-medicine-health-education/kidney-failure.html#ersdel"
"kidney-tests","Хяналтын шинжилгээ","https://jamsranjamts.github.io/family-medicine-health-education/kidney-failure.html#shinjilgee"
"kidney-prevention","Урьдчилан сэргийлэлт","https://jamsranjamts.github.io/family-medicine-health-education/kidney-failure.html#sergiilelt"
"autism-signs","Анзаарах шинж","https://jamsranjamts.github.io/family-medicine-health-education/autism.html#shinj-temdeg"
"autism-speech","Хэл засал","https://jamsranjamts.github.io/family-medicine-health-education/autism.html#hel-zasal"
"autism-movement","Хөдөлгөөн засал","https://jamsranjamts.github.io/family-medicine-health-education/autism.html#hodolgoon-zasal"
"autism-occupation","Хөдөлмөр засал","https://jamsranjamts.github.io/family-medicine-health-education/autism.html#hodolmor-zasal"
"exercise-safety","Аюулгүй байдал","https://jamsranjamts.github.io/family-medicine-health-education/post-stroke-exercises.html#ayulgui"
"exercise-arm","Гарын дасгал","https://jamsranjamts.github.io/family-medicine-health-education/post-stroke-exercises.html#gar"
"exercise-trunk","Их бие","https://jamsranjamts.github.io/family-medicine-health-education/post-stroke-exercises.html#ih-bie"
"exercise-leg","Хөлийн дасгал","https://jamsranjamts.github.io/family-medicine-health-education/post-stroke-exercises.html#hol"
"pressure-what","Ойлголт","https://jamsranjamts.github.io/family-medicine-health-education/pressure-injury.html#oilgolt"
"pressure-prevention","Урьдчилан сэргийлэлт","https://jamsranjamts.github.io/family-medicine-health-education/pressure-injury.html#sergiilelt"
"pressure-warning","Анхаарах шинж","https://jamsranjamts.github.io/family-medicine-health-education/pressure-injury.html#anhaarah-shinj"
"pressure-position","Байрлал солих","https://jamsranjamts.github.io/family-medicine-health-education/pressure-injury.html#bairlal"
