"id","title","path","type","url","file"
"home","Нүүр хуудас","index.html","Үндсэн","https://jamsranjamts.github.io/family-medicine-health-education/index.html","qr/home.png"
"stroke","Тархины цус харвалт","stroke.html","Үндсэн сэдэв","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html","qr/stroke.png"
"stroke-oilgolt","Тархины цус харвалт — Товч ойлголт","stroke.html#oilgolt","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html#oilgolt","qr/stroke-oilgolt.png"
"stroke-fast","Тархины цус харвалт — FAST арга","stroke.html#fast","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html#fast","qr/stroke-fast.png"
"stroke-yaraltai","Тархины цус харвалт — Яаралтай 103 дуудах шинж","stroke.html#yaraltai","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html#yaraltai","qr/stroke-yaraltai.png"
"stroke-sergiilelt","Тархины цус харвалт — Урьдчилан сэргийлэлт","stroke.html#sergiilelt","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/stroke.html#sergiilelt","qr/stroke-sergiilelt.png"
"heart-attack","Зүрхний шигдээс","heart-attack.html","Үндсэн сэдэв","https://jamsranjamts.github.io/family-medicine-health-education/heart-attack.html","qr/heart-attack.png"
"heart-attack-oilgolt","Зүрхний шигдээс — Товч ойлголт","heart-attack.html#oilgolt","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/heart-attack.html#oilgolt","qr/heart-attack-oilgolt.png"
"heart-attack-shinj","Зүрхний шигдээс — Аюултай шинж","heart-attack.html#shinj","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/heart-attack.html#shinj","qr/heart-attack-shinj.png"
"heart-attack-yu-hiih","Зүрхний шигдээс — Гэртээ юу хийх вэ?","heart-attack.html#yu-hiih","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/heart-attack.html#yu-hiih","qr/heart-attack-yu-hiih.png"
"heart-attack-sergiilelt","Зүрхний шигдээс — Урьдчилан сэргийлэлт","heart-attack.html#sergiilelt","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/heart-attack.html#sergiilelt","qr/heart-attack-sergiilelt.png"
"epilepsy","Эпилепси","epilepsy.html","Үндсэн сэдэв","https://jamsranjamts.github.io/family-medicine-health-education/epilepsy.html","qr/epilepsy.png"
"epilepsy-oilgolt","Эпилепси — Товч ойлголт","epilepsy.html#oilgolt","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/epilepsy.html#oilgolt","qr/epilepsy-oilgolt.png"
"epilepsy-tuslamj","Эпилепси — Таталтын үед авах арга хэмжээ","epilepsy.html#tuslamj","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/epilepsy.html#tuslamj","qr/epilepsy-tuslamj.png"
"epilepsy-bolohgui","Эпилепси — Хийж болохгүй зүйл","epilepsy.html#bolohgui","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/epilepsy.html#bolohgui","qr/epilepsy-bolohgui.png"
"epilepsy-yaraltai","Эпилепси — Хэзээ 103 дуудах вэ?","epilepsy.html#yaraltai","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/epilepsy.html#yaraltai","qr/epilepsy-yaraltai.png"
"kidney-failure","Бөөрний дутагдал","kidney-failure.html","Үндсэн сэдэв","https://jamsranjamts.github.io/family-medicine-health-education/kidney-failure.html","qr/kidney-failure.png"
"kidney-failure-oilgolt","Бөөрний дутагдал — Товч ойлголт","kidney-failure.html#oilgolt","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/kidney-failure.html#oilgolt","qr/kidney-failure-oilgolt.png"
"kidney-failure-ersdel","Бөөрний дутагдал — Эрсдэлт хүчин зүйл","kidney-failure.html#ersdel","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/kidney-failure.html#ersdel","qr/kidney-failure-ersdel.png"
"kidney-failure-shinjilgee","Бөөрний дутагдал — Хяналтын шинжилгээ","kidney-failure.html#shinjilgee","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/kidney-failure.html#shinjilgee","qr/kidney-failure-shinjilgee.png"
"kidney-failure-sergiilelt","Бөөрний дутагдал — Урьдчилан сэргийлэлт","kidney-failure.html#sergiilelt","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/kidney-failure.html#sergiilelt","qr/kidney-failure-sergiilelt.png"
"autism","Аутизм ба засал","autism.html","Үндсэн сэдэв","https://jamsranjamts.github.io/family-medicine-health-education/autism.html","qr/autism.png"
"autism-oilgolt","Аутизм ба засал — Товч ойлголт","autism.html#oilgolt","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/autism.html#oilgolt","qr/autism-oilgolt.png"
"autism-hel-zasal","Аутизм ба засал — Хэл засал","autism.html#hel-zasal","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/autism.html#hel-zasal","qr/autism-hel-zasal.png"
"autism-hudulguun","Аутизм ба засал — Хөдөлгөөн засал","autism.html#hudulguun","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/autism.html#hudulguun","qr/autism-hudulguun.png"
"autism-hudulmur","Аутизм ба засал — Хөдөлмөр засал","autism.html#hudulmur","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/autism.html#hudulmur","qr/autism-hudulmur.png"
"post-stroke-exercises","Саажилтын үеийн дасгал","post-stroke-exercises.html","Үндсэн сэдэв","https://jamsranjamts.github.io/family-medicine-health-education/post-stroke-exercises.html","qr/post-stroke-exercises.png"
"post-stroke-exercises-ankhaaral","Саажилтын үеийн дасгал — Эхлэхийн өмнө","post-stroke-exercises.html#ankhaaral","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/post-stroke-exercises.html#ankhaaral","qr/post-stroke-exercises-ankhaaral.png"
"post-stroke-exercises-gar","Саажилтын үеийн дасгал — Гарын дасгал","post-stroke-exercises.html#gar","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/post-stroke-exercises.html#gar","qr/post-stroke-exercises-gar.png"
"post-stroke-exercises-hul","Саажилтын үеийн дасгал — Хөлийн дасгал","post-stroke-exercises.html#hul","Дэд хэсэг","https://jamsranjamts.github.io/family-medicine-health-education/post-stroke-exercises.html#hul","qr/post-stroke-exercises-hul.png"
